Year,State,total,party.1,%,EV,party.2,%,EV,party.3,%,EV,party.4,%,EV,Party,Notes
1789 - Washington,Connecticut,,7.00,,,0.00,,,,,,,,,Other,Electoral votes only
1789 - Washington,Delaware,,3.00,,,0.00,,,,,,,,,Other,Electoral votes only
1789 - Washington,Georgia,,5.00,,,0.00,,,,,,,,,Other,Electoral votes only
1789 - Washington,Maryland,,6.00,,,0.00,,,,,,,,,Other,Electoral votes only
1789 - Washington,Massachusetts,,10.00,,,0.00,,,,,,,,,Other,Electoral votes only
1789 - Washington,New Hampshire,,5.00,,,0.00,,,,,,,,,Other,Electoral votes only
1789 - Washington,New Jersey,,6.00,,,0.00,,,,,,,,,Other,Electoral votes only
1789 - Washington,Pennsylvania,,10.00,,,0.00,,,,,,,,,Other,Electoral votes only
1789 - Washington,South Carolina,,7.00,,,0.00,,,,,,,,,Other,Electoral votes only
1789 - Washington,Virginia,,10.00,,,0.00,,,,,,,,,Other,Electoral votes only
1792 - Washington,Massachusetts,,16.00,,,0.00,,,,,,,,,Other,Electoral votes only
1792 - Washington,Rhode Island,,4.00,,,0.00,,,,,,,,,Other,Electoral votes only
1792 - Washington,Connecticut,,9.00,,,0.00,,,,,,,,,Other,Electoral votes only
1792 - Washington,New Jersey,,7.00,,,0.00,,,,,,,,,Other,Electoral votes only
1792 - Washington,Delaware,,3.00,,,0.00,,,,,,,,,Other,Electoral votes only
1792 - Washington,Maryland,,8.00,,,0.00,,,,,,,,,Other,Electoral votes only
1792 - Washington,Vermont,,3.00,,,0.00,,,,,,,,,Other,Electoral votes only
1792 - Washington,New Hampshire,,6.00,,,0.00,,,,,,,,,Other,Electoral votes only
1792 - Washington,New York,,12.00,,,0.00,,,,,,,,,Other,Electoral votes only
1792 - Washington,Pennsylvania,,15.00,,,0.00,,,,,,,,,Other,Electoral votes only
1792 - Washington,Virginia,,21.00,,,0.00,,,,,,,,,Other,Electoral votes only
1792 - Washington,Kentucky,,4.00,,,0.00,,,,,,,,,Other,Electoral votes only
1792 - Washington,North Carolina,,12.00,,,0.00,,,,,,,,,Other,Electoral votes only
1792 - Washington,South Carolina,,8.00,,,0.00,,,,,,,,,Other,Electoral votes only
1792 - Washington,Georgia,,4.00,,,0.00,,,,,,,,,Other,Electoral votes only
1796 - Adams,Connecticut,,9.00,,,0.00,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,Delaware,,3.00,,,0.00,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,Georgia,,0.00,,,4.00,,,,,,,,,Democratic-Republican,Electoral votes only
1796 - Adams,Kentucky,,0.00,,,4.00,,,,,,,,,Democratic-Republican,Electoral votes only
1796 - Adams,Maryland,,7.00,,,4.00,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,Massachusetts,,16.00,,,0.00,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,New Hampshire,,6.00,,,0.00,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,New Jersey,,7.00,,,0.00,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,New York,,12.00,,,0.00,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,North Carolina,,1.00,,,11.00,,,,,,,,,Democratic-Republican,Electoral votes only
1796 - Adams,Pennsylvania,,1.00,,,14.00,,,,,,,,,Democratic-Republican,Electoral votes only
1796 - Adams,Rhode Island,,4.00,,,0.00,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,South Carolina,,0.00,,,8.00,,,,,,,,,Democratic-Republican,Electoral votes only
1796 - Adams,Tennessee,,0.00,,,3.00,,,,,,,,,Democratic-Republican,Electoral votes only
1796 - Adams,Vermont,,4.00,,,0.00,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,Virginia,,1.00,,,20.00,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Connecticut,,0.00,,,9.00,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,Delaware,,0.00,,,3.00,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,Georgia,,4.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Kentucky,,4.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Maryland,,5.00,,,5.00,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Massachusetts,,0.00,,,16.00,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,New Hampshire,,0.00,,,6.00,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,New Jersey,,0.00,,,7.00,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,New York,,12.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,North Carolina,,8.00,,,4.00,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Pennsylvania,,8.00,,,7.00,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Rhode Island,,0.00,,,4.00,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,South Carolina,,8.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Tennessee,,3.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Vermont,,0.00,,,4.00,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,Virginia,,21.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Connecticut,,0.00,,,9.00,,,,,,,,,Federalist,Electoral votes only
1804 - Jefferson,Delaware,,0.00,,,3.00,,,,,,,,,Federalist,Electoral votes only
1804 - Jefferson,Georgia,,6.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Kentucky,,8.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Maryland,,9.00,,,2.00,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Massachusetts,,19.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,New Hampshire,,7.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,New Jersey,,8.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,New York,,19.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,North Carolina,,14.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Ohio,,3.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Pennsylvania,,20.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Rhode Island,,4.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,South Carolina,,10.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Tennessee,,5.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Vermont,,6.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Virginia,,24.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Connecticut,,0.00,,,9.00,,,,,,,,,Federalist,Electoral votes only
1808 - Madison,Delaware,,0.00,,,3.00,,,,,,,,,Federalist,Electoral votes only
1808 - Madison,Georgia,,6.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Kentucky,,7.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Maryland,,9.00,,,2.00,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Massachusetts,,0.00,,,19.00,,,,,,,,,Federalist,Electoral votes only
1808 - Madison,New Hampshire,,0.00,,,7.00,,,,,,,,,Federalist,Electoral votes only
1808 - Madison,New Jersey,,8.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,New York,,13.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,North Carolina,,11.00,,,3.00,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Ohio,,3.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Pennsylvania,,20.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Rhode Island,,0.00,,,4.00,,,,,,,,,Federalist,Electoral votes only
1808 - Madison,South Carolina,,10.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Tennessee,,5.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Vermont,,6.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Virginia,,24.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1812 - Madison,Connecticut,,0.00,,,9.00,,,,,,,,,Federalist,Electoral votes only
1812 - Madison,Delaware,,0.00,,,4.00,,,,,,,,,Federalist,Electoral votes only
1812 - Madison,Georgia,,8.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1812 - Madison,Kentucky,,12.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1812 - Madison,Louisiana,,3.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1812 - Madison,Maryland,,6.00,,,5.00,,,,,,,,,Democratic-Republican,Electoral votes only
1812 - Madison,Massachusetts,,0.00,,,22.00,,,,,,,,,Federalist,Electoral votes only
1812 - Madison,New Hampshire,,0.00,,,8.00,,,,,,,,,Federalist,Electoral votes only
1812 - Madison,New Jersey,,0.00,,,8.00,,,,,,,,,Federalist,Electoral votes only
1812 - Madison,New York,,0.00,,,29.00,,,,,,,,,Federalist,Electoral votes only
1812 - Madison,North Carolina,,15.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
1812 - Madison,Ohio,,7.00,,,0.00,,,,,,,,,Democratic-Republican,Electoral votes only
